account_id,customer_name,account_type,balance,status
A100,Priya Nair,CURRENT,16365.05,ACTIVE
A101,Rahul Mehta,CURRENT,10033.56,ACTIVE
A102,Priya Nair,SAVINGS,23196.33,ACTIVE
A103,Chen Wei,SAVINGS,36623.17,ACTIVE
A104,Omar Farouk,SAVINGS,318.89,ACTIVE
A105,Omar Farouk,CURRENT,31797.09,ACTIVE
A106,Rahul Mehta,CURRENT,73.1,ACTIVE
A107,Priya Nair,SAVINGS,10259.72,CLOSED
A108,Fatima Al-Sayed,CURRENT,48059.25,CLOSED
A109,Wei Zhang,CURRENT,4651.33,DORMANT
A110,Anika Sharma,CURRENT,35042.35,ACTIVE
A111,Sana Iyer,SAVINGS,25271.39,ACTIVE
A112,Fatima Al-Sayed,SAVINGS,29594.79,ACTIVE
A113,Wei Zhang,SAVINGS,14583.8,DORMANT
A114,Fatima Al-Sayed,CURRENT,15902.89,ACTIVE
A115,Sana Iyer,SAVINGS,6805.59,ACTIVE
A116,Sana Iyer,SAVINGS,5282.89,ACTIVE
A117,Liam O'Connor,CURRENT,6036.84,ACTIVE
A118,Omar Farouk,CURRENT,15415.39,ACTIVE
A119,Sana Iyer,SAVINGS,7880.77,ACTIVE
A120,Diego Ramirez,SAVINGS,10751.04,DORMANT
A121,Wei Zhang,SAVINGS,35557.87,CLOSED
A122,Fatima Al-Sayed,SAVINGS,33859.17,ACTIVE
A123,Wei Zhang,SAVINGS,47604.83,DORMANT
A124,Anika Sharma,SAVINGS,4736.26,ACTIVE
A125,Wei Zhang,SAVINGS,597.85,DORMANT
A126,Omar Farouk,SAVINGS,9906.65,ACTIVE
A127,Sana Iyer,CURRENT,45871.43,ACTIVE
A128,Sana Iyer,SAVINGS,45124.8,ACTIVE
A129,Wei Zhang,SAVINGS,45253.9,DORMANT
A130,Liam O'Connor,SAVINGS,2134.82,ACTIVE
A131,Wei Zhang,CURRENT,41084.27,ACTIVE
A132,Rahul Mehta,CURRENT,34160.65,ACTIVE
A133,Omar Farouk,SAVINGS,13749.09,ACTIVE
A134,Wei Zhang,SAVINGS,30705.33,ACTIVE
A135,Priya Nair,CURRENT,20599.61,ACTIVE
A136,Rahul Mehta,SAVINGS,13988.8,ACTIVE
A137,Omar Farouk,SAVINGS,31537.72,DORMANT
A138,Rahul Mehta,CURRENT,39095.79,ACTIVE
A139,Anika Sharma,CURRENT,17201.71,ACTIVE
A140,Liam O'Connor,CURRENT,13521.78,ACTIVE
A141,Diego Ramirez,SAVINGS,1465.17,DORMANT
A142,Priya Nair,SAVINGS,40432.69,ACTIVE
A143,Liam O'Connor,SAVINGS,48698.99,ACTIVE
A144,Omar Farouk,CURRENT,26684.48,ACTIVE
A145,Rahul Mehta,SAVINGS,28784.61,CLOSED
A146,Fatima Al-Sayed,CURRENT,46760.3,CLOSED
A147,Wei Zhang,SAVINGS,11827.56,ACTIVE
A148,Liam O'Connor,SAVINGS,35172.64,ACTIVE
A149,Diego Ramirez,SAVINGS,28155.44,ACTIVE
